ID,Class,Group,Gender,Grade,lang_n,lang_eng,lang_groups,attitudeschool,attitudeenglish,attitudeclass,attitudelearning,attitude,words,nonwords,wnw_istd,tasks_n,fun,necessary,new,helpful,evaluation,T1total_p,T1cog_p,T1total_r,T1cog_r,T1cogtsz,T1cogpf,T1cogdth,T1cogck,T1cogkch,T1noncog,T1total,T1cog,T2total_p,T2cog_p,T2total_r,T2cog_r,T2cogtsz,T2cogpf,T2cogdth,T2cogck,T2cogkch,T2noncog,T2total,T2cog,T3total_r,T3cog_r,T3total_p,T3cog_p,T3cogtsz,T3cogpf,T3cogdth,T3cogck,T3cogkch,T3noncog,T3total,T3cog
Q10,i2,intervention,female,5th grade,1,0,german_only,2,2,2,2,2,25,14,0.33,3,3,3,1,3,2.5,5,5,5,5,2,1,3,2,2,0,10,10,7,7,9,8,2,3,5,3,2,1,16,15,6,4,9,8,3,3,2,3,1,3,15,12
Q11,i2,intervention,male,6th grade,1,0,german_only,2,2,1,1,1.33,30,12,0.36,4,2,1,2,2,1.75,5,5,8,7,3,2,3,3,1,1,13,12,5,5,10,9,3,2,3,5,1,1,15,14,7,6,4,4,3,2,4,1,0,1,11,10
Q12,i2,intervention,female,5th grade,1,0,german_only,3,3,3,3,3,24,16,0.41,3,3,3,2,3,2.75,8,7,9,7,3,1,5,4,1,3,17,14,10,9,11,10,6,3,4,5,1,2,21,19,13,12,14,12,6,4,7,5,2,3,27,24
Q13,i2,intervention,male,6th grade,1,0,german_only,3,3,3,2,2.67,30,17,0.6,5,3,3,2,3,2.75,8,7,10,9,4,2,5,3,2,2,18,16,9,7,13,10,5,2,4,5,1,5,22,17,10,8,12,10,5,2,5,4,2,4,22,18
Q14,i2,intervention,male,5th grade,2,0,german_plus,2,3,3,3,3,15,19,0.43,3,3,3,2,3,2.75,3,2,4,3,0,1,1,2,1,2,7,5,7,7,8,7,3,3,3,3,2,1,15,14,6,4,8,6,2,1,2,3,2,4,14,10
Q15,i2,intervention,female,5th grade,1,0,german_only,2,2,3,3,2.67,32,15,0.55,3,3,3,2,3,2.75,4,3,5,5,1,2,2,3,0,1,9,8,8,7,10,9,3,3,5,3,2,2,18,16,4,4,10,8,3,1,2,4,2,2,14,12
Q16,i2,intervention,male,6th grade,1,0,german_only,3,3,3,2,2.67,35,16,0.68,2,2,3,2,3,2.5,5,5,11,8,1,2,5,3,2,3,16,13,12,11,14,11,5,4,6,5,2,4,26,22,9,7,3,2,2,0,4,1,2,3,12,9
Q17,i2,intervention,male,6th grade,1,0,german_only,1,2,2,3,2.33,34,14,0.56,4,2,2,2,3,2.25,5,4,6,5,1,2,1,4,1,2,11,9,8,8,7,5,4,2,2,3,2,2,15,13,7,6,10,9,4,3,3,5,0,2,17,15
Q18,i2,intervention,female,5th grade,3,1,german_plus,2,3,3,3,3,31,9,0.25,4,3,3,1,2,2.25,2,2,3,3,0,2,1,1,1,0,5,5,7,6,6,4,3,2,3,1,1,3,13,10,8,6,5,4,3,2,3,1,1,3,13,10
R01,i1,intervention,male,6th grade,1,0,german_only,2,3,3,3,3,31,15,0.53,3,2,2,0,2,1.5,7,5,7,7,2,2,5,2,1,2,14,12,7,6,9,6,3,2,5,2,0,4,16,12,9,9,1,1,3,2,4,1,0,0,10,10
R02,i1,intervention,female,6th grade,1,0,german_only,2,3,3,3,3,23,19,0.58,0,2,3,2,3,2.5,12,10,11,8,6,3,5,4,0,5,23,18,10,10,11,9,5,3,5,4,2,2,21,19,9,8,12,10,5,3,4,5,1,3,21,18
R03,i1,intervention,female,5th grade,2,0,german_plus,3,3,3,3,3,23,19,0.58,1,2,3,3,2,2.5,7,5,10,8,4,2,4,2,1,4,17,13,7,7,8,8,4,3,2,4,2,0,15,15,8,5,9,8,4,2,5,1,1,4,17,13
R04,i1,intervention,female,6th grade,1,0,german_only,2,3,1,2,2,26,18,0.57,2,2,2,3,3,2.5,10,9,10,9,3,4,6,3,2,2,20,18,12,11,11,10,4,4,6,5,2,2,23,21,11,9,11,9,5,3,4,4,2,4,22,18
R05,i1,intervention,male,6th grade,1,0,german_only,2,3,3,3,3,32,10,0.32,3,2,3,1,2,2,11,9,13,11,5,4,6,3,2,4,24,20,12,10,14,12,4,4,7,5,2,4,26,22,11,9,11,10,5,3,4,5,2,3,22,19
R06,i1,intervention,female,5th grade,1,0,german_only,3,2,3,0,1.67,20,16,0.32,4,2,3,2,2,2.25,6,6,8,7,2,3,6,1,1,1,14,13,6,5,10,9,3,4,4,3,0,2,16,14,7,6,5,4,3,0,3,2,2,2,12,10
R07,i1,intervention,male,6th grade,3,1,german_plus,3,3,3,3,3,34,16,0.65,4,3,3,2,3,2.75,10,9,9,6,2,2,6,3,2,4,19,15,13,11,9,6,4,2,4,5,2,5,22,17,7,5,12,11,5,3,3,4,1,3,19,16
R08,i1,intervention,male,5th grade,1,0,german_only,2,2,1,2,1.67,27,15,0.43,2,2,3,3,1,2.25,5,4,10,8,2,3,4,2,1,3,15,12,6,5,9,8,4,1,4,3,1,2,15,13,8,6,4,4,4,0,3,1,2,2,12,10
R09,i1,intervention,female,5th grade,1,0,german_only,2,3,2,2,2.33,28,17,0.56,2,1,2,3,1,1.75,3,3,4,4,2,2,1,1,1,0,7,7,5,4,7,7,2,3,2,2,2,1,12,11,6,6,5,5,4,2,3,1,1,0,11,11
R10,i1,intervention,male,6th grade,1,0,german_only,2,3,3,1,2.33,28,16,0.5,3,3,3,1,2,2.25,11,9,10,10,6,1,6,5,1,2,21,19,14,12,14,11,6,3,7,5,2,5,28,23,9,8,14,12,5,4,4,5,2,3,23,20
R11,i1,intervention,female,5th grade,1,0,german_only,2,2,3,1,2,24,11,0.15,3,3,3,3,3,3,7,6,7,6,3,1,5,2,1,2,14,12,6,4,9,9,3,3,2,3,2,2,15,13,7,5,6,5,4,3,1,1,1,3,13,10
R12,i1,intervention,male,5th grade,1,0,german_only,1,3,2,2,2.33,18,18,0.41,2,2,3,3,2,2.5,3,2,4,4,2,1,1,1,1,1,7,6,5,5,7,7,3,1,4,3,1,0,12,12,3,3,7,7,2,2,1,4,1,0,10,10
R13,i1,intervention,female,6th grade,1,0,german_only,3,2,2,2,2,32,14,0.5,2,2,3,1,3,2.25,5,4,8,7,3,1,4,3,0,2,13,11,7,6,9,8,2,3,5,3,1,2,16,14,3,3,9,8,4,2,2,2,1,1,12,11
R14,i1,intervention,female,5th grade,1,0,german_only,2,3,2,3,2.67,22,17,0.43,4,2,3,3,2,2.5,7,5,5,4,1,2,5,0,1,3,12,9,9,8,11,9,4,3,5,4,1,3,20,17,6,5,7,7,2,2,4,3,1,1,13,12
R15,i1,intervention,female,6th grade,1,0,german_only,2,3,3,3,3,32,16,0.6,1,3,3,2,3,2.75,5,5,12,10,3,2,5,4,1,2,17,15,8,7,10,10,3,4,5,3,2,1,18,17,7,6,6,5,4,3,0,3,1,2,13,11
R16,i1,intervention,male,5th grade,1,0,german_only,1,3,3,3,3,26,14,0.35,2,3,2,3,3,2.75,7,6,7,6,1,3,3,4,1,2,14,12,4,4,5,5,2,1,2,3,1,0,9,9,4,2,2,2,0,2,0,2,0,2,6,4
